N.I.F.;Nombre 1;Nombre 2;VMA;;;;;
9001627125;ACCION SALUD S.A. IPS;;14258;;;;;
9000423024;ADVANCED MEDICAL LINE S.A.;;2000000312;;;;;
9008762698;UT ALVARO PEDRAZA MANTILLA COMPENSAR;;2000005478;;;;;
8300842079;ASOCIADOS EN REPRODUCCION HUMANA LTDA;;11844;;;;;
8999990253;SOCIEDAD NACIONAL DE LA CRUZ ROJA;;2000000311;;;;;
8301107594;BIO ALGA S.A.S;;12005;;;;;
9008800887;UT CARLOS EDUARDO HERNANDEZ  COMPENSAR;;2000005521;;;;;
9003525923;CARLOS EDUARDO RANGEL GALVIS S.A.S;;15928;;;;;
9008739874;UT CATALINA FORERO RONDEROS COMPENSAR;;2000005515;;;;;
9008739874;UT CATALINA FORERO RONDEROS COMPENSAR;;2000005515;;;;;
8300484778;CENTRO DE ANALISIS MOLECULAR LTDA;;11746;;;;;
8000854862;CLINICA PARTENON LTDA;;9220;;;;;
8002196952;CO-DEMCO LTDA;;6425;;;;;
8000660013;CENTRO MEDICO OFTALMOLOGICO Y;LABORATORIO CLINICO ANDRADE;9170;;;;;
8320031673;CLINICA UNIVERSIDAD DE LA SABANA;;12271;;;;;
8600703011;CRUZ ROJA COLOMBIANA SECCIONAL;;12519;;;;;
9008757419;UT DIANA ZORAYA QUIJANO GARCIA COMPENSAR;;2000009448;;;;;
8600506329;FUNDACION INSTITUTO DE REUMATOLOGIA;FERNANDO CHALEM;12496;;;;;
9004609484;ADMINISTRADORA NACIONAL DE PRESTADORES;DE SALUD S.A.S;6171;;;;;
9008762888;UT GUSTAVO ALBERTO CORREA COMPENSAR;;2000005477;;;;;
8301413942;INMUNOTECH LABORATORIES S.A.S;;12144;;;;;
8002226606;INSTITUTO DE REFERENCIA ANDINO S.A.;;9673;;;;;
8301172792;INSTITUTO DE TUMORES DE LA MUJER;;12044;;;;;
9008767144;UT JAIME ORLANDO ROJAS JAIMES COMPENSAR;;2000005520;;;;;
9008816501;UT JOSE ERNESTO ANDRADE PEREZ COMPENSAR;;2000005518;;;;;
8300021159;JUAN BAUTISTA SALUD OCUPACIONAL SAS;;11574;;;;;
9008753598;UT JUAN JOSE GARCIA MONTALVO COMPENSAR;;2000005517;;;;;
9008762509;UT JUAN LUIS ALMONACID COMPENSAR;;2000005516;;;;;
8000755431;LABORATORIO DE INVESTIGACION HORMONAL L;;9203;;;;;
9001970018;LABORATORIO DE REFERENCIA HEMOSTASIA;;2000007676;;;;;
8603504219;LABORATORIO INMUNO CLINICO S.A.S;;12537;;;;;
9008757544;UT LEONARDO IGNACIO TRUJILLO COMPENSAR;;2000023046;;;;;
9008762745;UT COMPENSAR LUZ STELLA HERRAN ROBLES;;2000023047;;;;;
8301427212;MEDICINA LABORAL S.A.S;;12148;;;;;
9003119218;GASTROPED & DERMATOSOLUCIONES LTDA;;15581;;;;;
9002820344;ORTHORICH LABORATORIO DENTAL LTDA;;6160;;;;;
